,y_preds,y_uncertainty,response,noise_std_test,sq_error,cummulative_sq_error
367,0.016243055,0.3162285,-1.7738267,10.348252075529048,3.2043497277657598,3.2043497277657598
647,0.3468546,0.34662047,0.53927857,7.582801180204939,0.0370269842305609,1.6206883559981604
872,0.2143021,0.36913803,-0.47590172,4.170289578715288,0.4763813131425924,1.2392526750463044
310,0.46128938,0.37346122,0.43561158,2.406683719252691,0.0006593494128400015,0.9296043436379383
523,0.038463734,0.3758821,-0.22521974,1.8429446481151968,0.06952897446070869,0.7575892698024924
255,-0.07337646,0.38483682,-0.09142723,3.592197994420377,0.0003258302975928998,0.6313786965516758
518,0.1693005,0.38546926,0.18885197,2.694741973352605,0.0003822599791609006,0.541236348469888
1468,0.11876359,0.38570398,-0.03111931,1.215812934226575,0.022464883712410004,0.47638991537520325
671,0.5348515,0.38640627,0.43877724,5.8667463187099065,0.009230263434547603,0.4244832873817971
215,0.11622349,0.39048856,-0.40955493,4.921242881631061,0.2764429469376964,0.40967925333738703
423,0.25380304,0.3908694,0.53227735,4.181308609866642,0.0775479413299761,0.3794854977003496
717,0.09512308,0.39608705,0.5077611,3.549078510789804,0.17027013554952036,0.36205088418778053
1188,0.07748055,0.3965538,0.12782717,1.0421609679693344,0.0025347821454243993,0.33439579941529163
1180,0.09707733,0.40058392,0.2659073,4.335172700304343,0.028503558770200898,0.31254635365492794
947,0.019800864,0.4029911,0.29490355,1.877053388304952,0.07568148784441459,0.29675536260089375
971,0.64510214,0.4089043,1.0963922,1.7874389481411814,0.20366271825480353,0.29093707232926314
389,0.14705819,0.4093831,0.45623672,4.310986251413245,0.09559136341296087,0.279446148275363
1229,-0.13407177,0.40949926,0.005776395,1.4934966955562914,0.019557509253867223,0.26500789055194657
707,-0.05470734,0.4103151,-0.5774769,5.039556964209771,0.2732880128625936,0.26544368646303323
45,0.02899599,0.41140646,0.07162068,4.338406738010522,0.0018168641975961006,0.2522623453497614
408,0.749258,0.41142055,1.090646,1.1210558308056873,0.11654576654400002,0.24579965112091562
1151,0.28829184,0.41332325,0.20758055,2.7987916571049274,0.006514312333464103,0.2349230448123951
646,0.29498062,0.4166518,0.29912764,2.951662741617013,1.719777488039955e-05,0.22470974711511185
270,0.16811216,0.41755503,0.40154096,3.3684861252307767,0.05448900466944,0.21761721617987553
