,pms,empirical_frequency
0,0.0,0.0
1,0.05,0.04666666666666667
2,0.1,0.07866666666666666
3,0.15000000000000002,0.118
4,0.2,0.16266666666666665
5,0.25,0.20866666666666667
6,0.30000000000000004,0.25666666666666665
7,0.35000000000000003,0.3313333333333333
8,0.4,0.4066666666666667
9,0.45,0.4886666666666667
10,0.5,0.556
11,0.55,0.63
12,0.6000000000000001,0.6873333333333334
13,0.65,0.734
14,0.7000000000000001,0.7846666666666666
15,0.75,0.818
16,0.8,0.8566666666666667
17,0.8500000000000001,0.886
18,0.9,0.9233333333333333
19,0.9500000000000001,0.9513333333333334
20,1.0,1.0
