,pms,empirical_frequency
0,0.0,0.0
1,0.05,0.04133333333333333
2,0.1,0.07866666666666666
3,0.15000000000000002,0.11
4,0.2,0.15066666666666667
5,0.25,0.198
6,0.30000000000000004,0.248
7,0.35000000000000003,0.304
8,0.4,0.386
9,0.45,0.4726666666666667
10,0.5,0.5506666666666666
11,0.55,0.63
12,0.6000000000000001,0.69
13,0.65,0.738
14,0.7000000000000001,0.782
15,0.75,0.8246666666666667
16,0.8,0.856
17,0.8500000000000001,0.8926666666666667
18,0.9,0.9286666666666666
19,0.9500000000000001,0.954
20,1.0,1.0
